,Expected goals (xG),Total shots,Big chances,Big chances missed,Accurate passes,Accurate passes percentage,Fouls committed,Offsides,Corners,Shots off target,Shots on target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,xG open play,xG set play,xG on target (xGOT),Passes,Own half,Opposition half,Accurate long balls,Accurate long balls percentage,Accurate crosses,Accurate crosses percentage,Throws,Yellow cards,Red cards,Tackles won,Tackles won percentage,Interceptions,Blocks,Clearances,Keeper saves,Duels won,Ground duels won,Ground duels won percentage,Aerial duels won,Aerial duels won percentage,Successful dribbles,Successful dribbles percentage,score,posession,0,1,2,final_score,odds_predict
0,0.89,7.0,1.0,0.0,77.0,0.05999999999999994,-3.0,1.0,1.0,4.0,0.0,3.0,0.0,7.0,0.0,0.97,-0.08,0.28,77.0,43.0,34.0,8.0,0.13000000000000006,3.0,0.23,2.0,-2.0,0.0,-3.0,0.26,2.0,-3.0,-1.0,0.0,-2.0,-1.0,-0.030000000000000027,-1.0,-0.10000000000000003,4.0,-0.31,0.0,20.0,2.3,2.3875,4.2,0,0
1,-1.21,-5.0,-1.0,0.0,-54.0,-0.08999999999999997,9.0,-1.0,-1.0,-1.0,-2.0,-2.0,0.0,-4.0,-1.0,-0.9600000000000001,-0.26,-1.28,-49.0,5.0,-59.0,-7.0,-0.15000000000000002,-1.0,0.0,-3.0,2.0,0.0,5.0,0.39999999999999997,0.0,2.0,9.0,0.0,-3.0,-5.0,-0.15999999999999998,2.0,0.06,-2.0,-0.10999999999999999,-1.0,-16.0,4.75,13.0,1.25,2,2
2,-0.74,-3.0,-1.0,0.0,-140.0,-0.10999999999999999,-3.0,0.0,-1.0,0.0,-1.0,-2.0,0.0,-1.0,-2.0,-0.06,-0.67,-1.25,-141.0,-31.0,-109.0,-7.0,-0.3,-1.0,-0.010000000000000009,-5.0,-2.0,0.0,-2.0,0.43000000000000005,4.0,1.0,5.0,-1.0,-15.0,-8.0,-0.39999999999999997,-7.0,-0.6399999999999999,-4.0,-0.8,-2.0,-26.0,20.0,56.0,1.024390243902439,2,2
3,0.37,4.0,1.0,1.0,56.0,0.039999999999999925,-1.0,-1.0,-1.0,3.0,2.0,-1.0,1.0,2.0,2.0,0.37,,0.9700000000000001,56.0,-14.0,70.0,-4.0,-0.010000000000000009,4.0,0.4,-2.0,-2.0,0.0,-3.0,-0.17000000000000004,-4.0,1.0,-6.0,-3.0,-5.0,1.0,0.020000000000000018,-6.0,-0.35999999999999993,3.0,0.039999999999999925,-1.0,12.0,3.5,6.5,1.6,1,2
4,-2.94,-12.0,-3.0,0.0,-242.0,-0.32999999999999996,-1.0,-1.0,-4.0,0.0,-6.0,-6.0,1.0,-10.0,-2.0,-2.1799999999999997,-0.76,-3.13,-234.0,-105.0,-137.0,-4.0,-0.30999999999999994,-1.0,0.13,-8.0,1.0,0.0,1.0,0.07000000000000006,3.0,6.0,13.0,2.0,7.0,5.0,0.24,2.0,0.10000000000000003,3.0,0.6,-4.0,-50.0,226.0,201.0,1.04,2,2
5,-0.95,1.0,-2.0,0.0,-21.0,-0.019999999999999907,0.0,1.0,2.0,2.0,-1.0,0.0,0.0,0.0,1.0,-0.04000000000000001,-0.13,-1.99,-19.0,-59.0,38.0,-1.0,0.20000000000000007,0.0,-0.040000000000000036,5.0,0.0,0.0,-4.0,-0.28,4.0,0.0,-4.0,0.0,-5.0,-6.0,-0.26,1.0,0.050000000000000044,0.0,-0.25,-1.0,-4.0,3.126923076923077,4.5,1.8166666666666669,2,2
6,-0.33,-3.0,1.0,0.0,-104.0,-0.15000000000000002,-1.0,3.0,-3.0,0.0,0.0,-3.0,0.0,1.0,-4.0,0.31,-0.64,0.71,-97.0,-51.0,-53.0,3.0,-0.09000000000000002,2.0,0.29,-1.0,0.0,0.0,2.0,-0.06,-1.0,3.0,6.0,1.0,7.0,3.0,0.10000000000000003,4.0,0.25,-1.0,0.10999999999999999,1.0,-22.0,3.9,1.4444444444444444,7.25,1,1
7,-0.32,4.0,-1.0,-1.0,39.0,0.030000000000000027,5.0,1.0,0.0,2.0,-1.0,3.0,0.0,1.0,3.0,-0.32,,-0.74,36.0,-35.0,74.0,-16.0,-0.17000000000000004,0.0,-0.04000000000000001,3.0,0.0,0.0,4.0,0.0,5.0,-3.0,7.0,1.0,2.0,4.0,0.18,-2.0,-0.34,3.0,0.63,0.0,6.0,2.5,2.05,5.225,1,1
8,-0.040000000000000036,-7.0,0.0,0.0,-76.0,-0.15999999999999992,1.0,2.0,-2.0,-3.0,-2.0,-2.0,0.0,-7.0,0.0,-0.63,-0.19,0.3599999999999999,-65.0,-8.0,-68.0,-4.0,-0.27,-1.0,0.06,-11.0,0.0,0.0,1.0,0.040000000000000036,-1.0,3.0,5.0,1.0,4.0,2.0,0.06000000000000005,2.0,0.15999999999999998,3.0,0.04999999999999999,-1.0,-20.0,4.0,7.0,1.4444444444444444,2,2
9,-0.21000000000000008,-6.0,-2.0,0.0,-110.0,-0.09999999999999998,0.0,0.0,-3.0,-2.0,-4.0,0.0,-1.0,-1.0,-5.0,0.15000000000000002,-0.36000000000000004,-0.94,-102.0,-26.0,-84.0,-6.0,-0.10999999999999999,0.0,0.2,3.0,0.0,0.0,-3.0,-0.25,-2.0,0.0,8.0,1.0,-4.0,-3.0,-0.13999999999999996,-1.0,-0.13999999999999996,0.0,0.34,-3.0,-20.0,100.0,251.0,1.0041666666666667,2,2
