,expected_goals_(xg)_diff,total_shots_diff,big_chances_diff,big_chances_missed_diff,accurate_passes_diff,accurate_passes_percentage_diff,fouls_committed_diff,offsides_diff,corners_diff,shots_off_target_diff,shots_on_target_diff,blocked_shots_diff,hit_woodwork_diff,shots_inside_box_diff,shots_outside_box_diff,xg_open_play_diff,xg_set_play_diff,xg_on_target_(xgot)_diff,passes_diff,own_half_diff,opposition_half_diff,accurate_long_balls_diff,accurate_long_balls_percentage_diff,accurate_crosses_diff,accurate_crosses_percentage_diff,throws_diff,yellow_cards_diff,red_cards_diff,tackles_won_diff,tackles_won_percentage_diff,interceptions_diff,blocks_diff,clearances_diff,keeper_saves_diff,duels_won_diff,ground_duels_won_diff,ground_duels_won_percentage_diff,aerial_duels_won_diff,aerial_duels_won_percentage_diff,successful_dribbles_diff,successful_dribbles_percentage_diff,score_diff,posession_diff,odds_sum,xg_penalty_diff,odds_predict,std_0,std_1,std_2,med_0,med_1,med_2,cv_odds,target
0,0.89,7.0,1.0,0.0,77.0,0.05999999999999994,-3.0,1.0,1.0,4.0,0.0,3.0,0.0,7.0,0.0,0.97,-0.08,0.28,77.0,43.0,34.0,8.0,0.13000000000000006,3.0,0.23,2.0,-2.0,0.0,-3.0,0.26,2.0,-3.0,-1.0,0.0,-2.0,-1.0,-0.030000000000000027,-1.0,-0.10000000000000003,4.0,-0.31,0.0,20.0,1.0917260143301573,,0,0.05701180960880168,0.03907754496069541,0.16659862556700877,2.3,2.3875,4.2,0.3620587554511452,0
1,-1.21,-5.0,-1.0,0.0,-54.0,-0.08999999999999997,9.0,-1.0,-1.0,-1.0,-2.0,-2.0,0.0,-4.0,-1.0,-0.9600000000000001,-0.26,-1.28,-49.0,5.0,-59.0,-7.0,-0.15000000000000002,-1.0,0.0,-3.0,2.0,0.0,5.0,0.39999999999999997,0.0,2.0,9.0,0.0,-3.0,-5.0,-0.15999999999999998,2.0,0.06,-2.0,-0.10999999999999999,-1.0,-16.0,1.0874493927125506,,2,0.1910206504252588,0.8634593969478327,0.016509951037030617,4.75,13.0,1.25,0.9525625156704352,2
2,-0.74,-3.0,-1.0,0.0,-140.0,-0.10999999999999999,-3.0,0.0,-1.0,0.0,-1.0,-2.0,0.0,-1.0,-2.0,-0.06,-0.67,-1.25,-141.0,-31.0,-109.0,-7.0,-0.3,-1.0,-0.010000000000000009,-5.0,-2.0,0.0,-2.0,0.43000000000000005,4.0,1.0,5.0,-1.0,-15.0,-8.0,-0.39999999999999997,-7.0,-0.6399999999999999,-4.0,-0.8,-2.0,-26.0,1.0440476190476191,,2,2.6168006094012743,18.683691616219004,0.004380545428550406,20.0,56.0,1.024390243902439,1.0875910835701899,2
3,0.37,4.0,1.0,1.0,56.0,0.039999999999999925,-1.0,-1.0,-1.0,3.0,2.0,-1.0,1.0,2.0,2.0,0.37,,0.9700000000000001,56.0,-14.0,70.0,-4.0,-0.010000000000000009,4.0,0.4,-2.0,-2.0,0.0,-3.0,-0.17000000000000004,-4.0,1.0,-6.0,-3.0,-5.0,1.0,0.020000000000000018,-6.0,-0.35999999999999993,3.0,0.039999999999999925,-1.0,12.0,1.0645604395604396,,2,0.0665252462459656,0.22732333861046544,0.016280856189938072,3.5,6.5,1.6,0.6389204815064752,1
4,-0.95,1.0,-2.0,0.0,-21.0,-0.019999999999999907,0.0,1.0,2.0,2.0,-1.0,0.0,0.0,0.0,1.0,-0.04000000000000001,-0.13,-1.99,-19.0,-59.0,38.0,-1.0,0.20000000000000007,0.0,-0.040000000000000036,5.0,0.0,0.0,-4.0,-0.28,4.0,0.0,-4.0,0.0,-5.0,-6.0,-0.26,1.0,0.050000000000000044,0.0,-0.25,-1.0,-4.0,1.0924841358505328,-0.78,2,0.1213435424977028,0.1431190566271621,0.041333994880020486,3.126923076923077,4.5,1.8166666666666669,0.4262539745044716,2
5,-0.33,-3.0,1.0,0.0,-104.0,-0.15000000000000002,-1.0,3.0,-3.0,0.0,0.0,-3.0,0.0,1.0,-4.0,0.31,-0.64,0.71,-97.0,-51.0,-53.0,3.0,-0.09000000000000002,2.0,0.29,-1.0,0.0,0.0,2.0,-0.06,-1.0,3.0,6.0,1.0,7.0,3.0,0.10000000000000003,4.0,0.25,-1.0,0.10999999999999999,1.0,-22.0,1.0866489832007074,,1,0.10152727225424762,0.02180931899023088,0.46501858452175576,3.9,1.4444444444444444,7.25,0.694172465004691,1
6,-0.32,4.0,-1.0,-1.0,39.0,0.030000000000000027,5.0,1.0,0.0,2.0,-1.0,3.0,0.0,1.0,3.0,-0.32,,-0.74,36.0,-35.0,74.0,-16.0,-0.17000000000000004,0.0,-0.04000000000000001,3.0,0.0,0.0,4.0,0.0,5.0,-3.0,7.0,1.0,2.0,4.0,0.18,-2.0,-0.34,3.0,0.63,0.0,6.0,1.079192437857393,,1,0.08818194834937806,0.03898796902116171,0.24260672845442283,2.5,2.05,5.225,0.5272575616953115,1
7,-0.040000000000000036,-7.0,0.0,0.0,-76.0,-0.15999999999999992,1.0,2.0,-2.0,-3.0,-2.0,-2.0,0.0,-7.0,0.0,-0.63,-0.19,0.3599999999999999,-65.0,-8.0,-68.0,-4.0,-0.27,-1.0,0.06,-11.0,0.0,0.0,1.0,0.040000000000000036,-1.0,3.0,5.0,1.0,4.0,2.0,0.06000000000000005,2.0,0.15999999999999998,3.0,0.04999999999999999,-1.0,-20.0,1.085164835164835,0.78,2,0.08902474722969704,0.23957871187497745,0.009114088308786017,4.0,7.0,1.4444444444444444,0.6703567623105702,2
8,-1.56,-10.0,-2.0,-2.0,-102.0,-0.15999999999999992,3.0,2.0,-6.0,-3.0,-2.0,-5.0,0.0,-9.0,-1.0,-0.95,-0.6,0.6900000000000002,-96.0,-23.0,-79.0,-2.0,-0.09999999999999998,-1.0,0.23,-1.0,1.0,0.0,1.0,0.030000000000000027,3.0,6.0,11.0,1.0,4.0,1.0,0.010000000000000009,3.0,0.12000000000000005,3.0,0.22000000000000003,0.0,-26.0,1.0805860805860807,,2,0.0783762060889142,0.3588390058212254,0.02301532862253022,3.25,6.5,1.6153846153846154,0.6563159293266014,1
9,0.15,3.0,0.0,0.0,104.0,0.06999999999999995,-4.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.15,,0.12,105.0,58.0,46.0,6.0,0.11000000000000004,-1.0,-0.30000000000000004,1.0,0.0,0.0,3.0,0.31000000000000005,-7.0,-1.0,-10.0,-2.0,4.0,4.0,0.12000000000000005,0.0,0.0,-1.0,0.17000000000000004,0.0,20.0,1.0654970760233917,,1,0.04016617730514024,0.0291161615782695,0.12154315350871854,2.375,2.25,5.0,0.4840167572359538,2
