,Corners,Fouls Committed,Fouls Wons,Goals,Offsides,Pass Completion,Possesion,Red Cards,Shot Attempts,Shots Blocked,Total Passes,Total Shots on Target,Total xG,Under Pressure,Yellow Cards,fh_winner,target
0,-4.0,-1.0,3.0,-1.0,0.0,0.14900000000000002,0.248,0.0,-6.0,-3.0,115.0,-1.0,-0.80671126,0.10800000000000001,0.0,2,2
1,0.0,0.0,3.0,0.0,2.0,0.15700000000000003,0.316,0.0,-2.0,-4.0,178.0,0.0,-0.32389501899999995,-0.025999999999999995,0.0,0,1
2,1.0,0.0,1.0,0.0,0.0,-0.09699999999999998,-0.064,0.0,3.0,2.0,-35.0,3.0,-0.24752855599999987,-0.025999999999999995,-1.0,0,2
3,0.0,1.0,-2.0,1.0,-1.0,0.02299999999999991,-0.008000000000000007,0.0,0.0,2.0,-5.0,-2.0,0.722193334,0.0050000000000000044,1.0,1,1
4,0.0,0.0,0.0,-1.0,0.0,-0.11399999999999999,-0.36000000000000004,0.0,-1.0,1.0,-198.0,-2.0,-0.525874097,0.066,2.0,2,2
5,-1.0,1.0,0.0,-1.0,-2.0,0.131,0.24,0.0,-3.0,-1.0,120.0,1.0,-0.2420428299999999,-0.012999999999999998,0.0,2,1
6,2.0,-1.0,0.0,0.0,-2.0,-0.09099999999999997,-0.268,0.0,0.0,-1.0,-145.0,2.0,-0.5628356620000001,-0.040999999999999995,-1.0,0,2
7,8.0,2.0,-1.0,0.0,-1.0,0.07699999999999996,0.19199999999999995,0.0,13.0,5.0,97.0,1.0,0.853796701,-0.11699999999999999,1.0,0,2
8,2.0,0.0,0.0,-1.0,0.0,0.135,0.334,0.0,3.0,2.0,164.0,-2.0,-0.29323887300000007,-0.012999999999999998,0.0,2,2
9,1.0,0.0,1.0,0.0,-4.0,0.18500000000000005,0.37599999999999995,0.0,8.0,2.0,237.0,2.0,0.6711192790000001,-0.14100000000000001,0.0,0,1
10,1.0,-1.0,1.0,1.0,-2.0,0.06399999999999995,0.08600000000000002,0.0,-4.0,0.0,42.0,-1.0,-0.2238012259999999,-0.14600000000000002,1.0,1,1
11,0.0,2.0,2.0,1.0,-2.0,0.127,0.12599999999999995,0.0,-2.0,0.0,53.0,0.0,0.073505396,0.07200000000000001,1.0,1,1
